stop_name,zone_id,stop_id,stop_desc,stop_lat,stop_lon
Managal,28725,28725,Managal (Towards Magadi),12.91249,77.20467
Managal,33796,33796,Managal (Towards Balenahalli),12.91253,77.20473
Managanahalli Kankapura Road,28727,28727,Managanahalli Kankapura Road (Towards Hugarahalli),12.72776,77.4684
Managanahalli Kankapura Road,33797,33797,Managanahalli Kankapura Road (Towards Kaggalahalli),12.7278,77.46839
Manasa Nagara,22248,22248,Manasa Nagara (Towards Nagarabhavi Circle),12.95925,77.51674
Manasa Nagara,22249,22249,Manasa Nagara (Towards AIT College),12.95881,77.51683
Manchanabele,28729,28729,Manchanabele (Towards Dabbaguli),12.86706,77.33449
Manchanabele,33798,33798,Manchanabele (Towards Manchanabele Dam Cross),12.86711,77.33455
Manchanabele Colony,38917,38917,Manchanabele Colony (Towards Vahale Gate),12.87024,77.33563
Manchanabele Colony,38918,38918,Manchanabele Colony (Towards Manchanabele),12.87022,77.33567
Manchanabele Dam Cross,28731,28731,Manchanabele Dam Cross (Towards Manchanabele),12.87149,77.3397
Manchanabele Dam Cross,33799,33799,Manchanabele Dam Cross (Towards Gollahalli),12.87151,77.33964
Manchanabele School,28732,28732,Manchanabele School (Towards Manchanabele),12.87008,77.33715
Manchanahalli,28736,28736,Manchanahalli (Towards Mayasandra),12.76671,77.75353
Manchanahalli Cross,33803,33803,Manchanahalli Cross (Towards Manchanahalli),12.77514,77.7701
Manchanayakanahalli Gate,20992,20992,Manchanayakanahalli Gate (Towards Wonder La Park),12.83494,77.41386
Manchanayakanahalli Gate,21284,21284,Manchanayakanahalli Gate (Towards Kengeri),12.83476,77.41421
Manchanayakanahalli Gate,21566,21566,Manchanayakanahalli Gate (Towards Bidadi),12.83455,77.41472
Manchanayakanahalli School,21162,21162,Manchanayakanahalli School (Towards Wonder La),12.83736,77.40939
Manchanayakanahalli School,21163,21163,Manchanayakanahalli School (Towards Wonder La Gate),12.83731,77.40944
Manchappanahalli Cross,22250,22250,Manchappanahalli Cross (Towards Budigere),13.13515,77.72619
Manchappanahalli Cross,22251,22251,Manchappanahalli Cross (Towards Bagaluru),13.13527,77.72547
Manchappanahalli Gate,28739,28739,Manchappanahalli Gate (Towards Devanahalli),13.14363,77.72931
Manchappanahalli Gate,31394,31394,Manchappanahalli Gate (Towards Budigere),13.14365,77.72936
Manchappanahalli Village,28741,28741,Manchappanahalli Village (Towards Singahalli),13.14165,77.72624
Manchappanahalli Village,33804,33804,Manchappanahalli Village (Towards Hosahalli),13.14161,77.72624
Manchegowdanapalya,33805,33805,Manchegowdanapalya (Towards Bennahalli),12.72418,77.38075
Manchegowdanapalya,35840,35840,Manchegowdanapalya (Towards Heggadagere),12.72413,77.38072
Manchenahalli,28745,28745,Manchenahalli (Towards Manchenahalli Cross),13.03492,77.35782
Manchenahalli,33806,33806,Manchenahalli (Towards Sondekoppa),13.03497,77.35779
Mandigere,28750,28750,Mandigere (Towards NH-4),13.16467,77.36954
Mandur,28752,28752,Mandur (Towards Budigere),13.08219,77.73857
Mandur,33809,33809,Mandur (Towards Budigere Cross),13.08221,77.73862
Mangammanapalya,28753,28753,Mangammanapalya (Towards Bommanahalli),12.90725,77.63505
Manganahalli,28755,28755,Manganahalli (Towards Manganahalli),12.95415,77.46935
Manganahalli,33810,33810,Manganahalli (Towards Vidyaniketan Public School),12.95419,77.46934
Manganahalli Cross,20993,20993,Manganahalli Cross (Towards Vidyaniketan Public School),12.9527,77.48407
Manganahalli Cross,20994,20994,Manganahalli Cross (Towards Manganahalli),12.95265,77.48418
Maniksha Parade Ground,22252,22252,Maniksha Parade Ground (Towards Shivaji Nagara),12.97746,77.60771
Maniksha Parade Ground,22253,22253,Maniksha Parade Ground (Towards Halasuru),12.97773,77.60747
Manipal Centre,22254,22254,Manipal Centre (Towards MG Road),12.97493,77.61436
Manipal Centre,28757,28757,Manipal Centre (Towards Hasanath College),12.97585,77.61452
Manipal Centre MG Road,22255,22255,Manipal Centre MG Road (Towards Shivaji Nagara),12.97552,77.61356
Manipal Centre MG Road,22256,22256,Manipal Centre MG Road (Towards Halasuru),12.97571,77.61358
Manjunatha Kalyana Mantapa,28759,28759,Manjunatha Kalyana Mantapa (Towards Ganigarapalya),12.87459,77.53813
Manjunatha Kalyana Mantapa,33811,33811,Manjunatha Kalyana Mantapa (Towards Raghuvanahalli Cross),12.87474,77.5381
Manjunatha Nagara,20995,20995,Manjunatha Nagara (Towards Vijayanagara),12.99593,77.55068
Manjunatha Nagara,22257,22257,Manjunatha Nagara (Towards Yashwanthapura bus station),12.99548,77.55068
Manjunatha Nagara,28764,28764,Manjunatha Nagara (Towards Tavarakere),12.96433,77.40378
Manjunatha Nagara,33812,33812,Manjunatha Nagara (Towards Shivanahalli),12.99145,77.54288
Manjunatha Nagara,33813,33813,Manjunatha Nagara (Towards ullalu),12.98205,77.4811
Manjunatha Nagara,33814,33814,Manjunatha Nagara (Towards Basaveshwara Nagara 3rd Stage),12.99156,77.54296
Manjunatha Nagara,33815,33815,Manjunatha Nagara (Towards Puttaiahnapalya Cross),12.96436,77.40374
Manjunatha Nagara,35132,35132,Manjunatha Nagara (Towards Byadarahalli),12.9821,77.48104
Manjunatha Nagara,35315,35315,Manjunatha Nagara (Towards Bharath Nagara 1st Phase),12.98212,77.48112
Manjunatha Nagara Layout Cross,38674,38674,Manjunatha Nagara Layout Cross (Towards Medahalli),13.0186,77.72009
Manjunatha Nagara Layout Cross,38675,38675,Manjunatha Nagara Layout Cross (Towards Seegehalli),13.01858,77.72011
Manjunathanagara Metro Station,39975,39975,Manjunathanagara Metro Station (Towards Jalahalli Cross),13.05002,77.49419
Manjushree Garments PSS,36491,36491,Manjushree Garments PSS (Towards Peenya 2 Stage),13.01393,77.49938
Manjushree Hospital,28766,28766,Manjushree Hospital (Towards Kaval Byrasandra),13.02136,77.60704
Manjushree Hospital,33816,33816,Manjushree Hospital (Towards R T Nagara Police Station),13.02131,77.60708
Manorayanapalya,23348,23348,Manorayanapalya (Towards Manorayanapalya),13.02889,77.60169
Manorayanapalya,24177,24177,Manorayanapalya (Towards Sultanpalya),13.02903,77.60169
Manpho Layout,39289,39289,Manpho Layout (Towards Last Stop),13.12228,77.67576
Mantanakurchi,28768,28768,Mantanakurchi (Towards Mantanakurchi),13.04352,77.38411
Mantanakurchi,33817,33817,Mantanakurchi (Towards Sondekoppa),13.0443,77.38459
Mantapa Cross,22779,22779,Mantapa Cross (Towards Jigani),12.80303,77.59615
Mantapa Cross,22780,22780,Mantapa Cross (Towards Bannerughatta Circle),12.80286,77.5962
Mantri Alpyne Apartment,28771,28771,Mantri Alpyne Apartment (Towards Uttarahalli),12.90449,77.5271
Mantri Alpyne Apartment,28772,28772,Mantri Alpyne Apartment (Towards Channasandra),12.90453,77.52725
Mantri Green Apartment Sampige Talkies,37962,37962,Mantri Green Apartment Sampige Talkies (Towards Last Stop),12.99319,77.57045
Mantri Layout (M L A LAYOUT),28775,28775,Mantri Layout (M L A LAYOUT) (Towards Mattahalli),13.08449,77.44776
Mantri Layout (M L A LAYOUT),33819,33819,Mantri Layout (M L A LAYOUT) (Towards Makali),13.08448,77.4478
Mantri Mall,39434,39434,Mantri Mall (Towards Yeshwanthapura Bus Station),12.99153,77.57152
Manuvana,20996,20996,Manuvana (Towards Vijayanagara),12.97401,77.54656
Manuvana,20997,20997,Manuvana (Towards Magadi Road Tollgate),12.97431,77.54454
Manuvana,39567,39567,Manuvana (Towards Kempegowda Bus Stand),12.97448,77.54483
Manyatha Tech Park,20998,20998,Manyatha Tech Park (Towards Tin Factory),13.0412,77.62095
Manyatha Tech Park,20999,20999,Manyatha Tech Park (Towards Hebbala),13.04106,77.61999
Maragondanahalli,33820,33820,Maragondanahalli (Towards K Narayanapura),13.0372,77.69297
Maragondanahalli,33821,33821,Maragondanahalli (Towards Suradenapura Cross),13.20293,77.5762
Maragondanahalli,33822,33822,Maragondanahalli (Towards Reddy Layout),13.03735,77.693
Maragondanahalli Cross,33824,33824,Maragondanahalli Cross (Towards Tavarakere),12.93485,77.4314
Maragondanahalli Cross,33825,33825,Maragondanahalli Cross (Towards Kommaghatta),12.93493,77.4314
Maralakunte,22258,22258,Maralakunte (Towards Budigere),13.13225,77.70593
Maralakunte,22259,22259,Maralakunte (Towards Bagaluru),13.13241,77.70526
Maralakunte Colony,38067,38067,Maralakunte Colony (Towards Last Stop),13.12943,77.70565
Maralugondla Cross,28795,28795,Maralugondla Cross (Towards Magadi),12.9474,77.27138
Maralugondla Cross,33828,33828,Maralugondla Cross (Towards Thippagondanahalli),12.94743,77.27132
Maramma Temple,28797,28797,Maramma Temple (Towards Sirsi Circle),12.96314,77.55906
Maramma Temple,33829,33829,Maramma Temple (Towards Jaga Jeevan Ram Nagara),12.96291,77.55872
Maramma Temple Halage Vaderahalli,28799,28799,Maramma Temple Halage Vaderahalli (Towards BHEL Layout),12.92279,77.51438
Maramma Temple Halage Vaderahalli,33830,33830,Maramma Temple Halage Vaderahalli (Towards RR Gate),12.92273,77.51429
Maramma Temple Hegganahalli,21000,21000,Maramma Temple Hegganahalli (Towards Sunkadakatte),12.99462,77.5043
Maranagere,23407,23407,Maranagere (Towards Shivanapura),12.88233,77.8522
Maranagere,23410,23410,Maranagere (Towards Chikka Thirupathi),12.88227,77.85212
Maranayakanahalli,28801,28801,Maranayakanahalli (Towards Huttanahalli),13.16804,77.64835
Maranayakanahalli,33831,33831,Maranayakanahalli (Towards Doddajala),13.16801,77.64832
Marappa Garden,28802,28802,Marappa Garden (Towards Marappa Garden),13.00439,77.59974
Marasandra,28808,28808,Marasandra (Towards Bandaiahana palya),13.20021,77.44282
Marasandra,33832,33832,Marasandra (Towards Maralakunte),13.09961,77.71519
Marasandra,33833,33833,Marasandra (Towards Avalahalli),13.09966,77.71519
Marasandra,33835,33835,Marasandra (Towards Domlur),12.98074,77.87469
Marasandra,33836,33836,Marasandra (Towards Kanasawadi),13.20016,77.44278
Marasandra Circle,28810,28810,Marasandra Circle (Towards Rajanukunte),13.22281,77.54973
Marasandra Circle,33837,33837,Marasandra Circle (Towards Doddaballapura),13.22269,77.54963
Marasandra Circle,33838,33838,Marasandra Circle (Towards Dodda Tumkur),13.22273,77.54935
Marasandra Gate,28813,28813,Marasandra Gate (Towards Medahalli),12.98431,77.87375
Marasandra Gate,33839,33839,Marasandra Gate (Towards Marasandra),12.98446,77.87381
Marasandra Govt School,28815,28815,Marasandra Govt School (Towards Doddaballapura),13.23098,77.55013
Marasandra Govt School,33840,33840,Marasandra Govt School (Towards Rajanukunte),13.23113,77.55027
Marasur Gate,23837,23837,Marasur Gate (Towards RK Form),12.76983,77.70145
Marasur Madivala,28818,28818,Marasur Madivala (Towards Bandapura),12.76174,77.72307
Marasur Madivala,33841,33841,Marasur Madivala (Towards Balageranahalli Cross),12.77344,77.72852
Marasur Madivala,33842,33842,Marasur Madivala (Towards Marasur Gate),12.76156,77.7231
Marathahalli,22260,22260,Marathahalli (Towards Varthuru),12.95626,77.69409
Marathahalli,22261,22261,Marathahalli (Towards Domlur),12.95611,77.69372
Marathahalli Bridge,22662,22662,Marathahalli Bridge (Towards Kempegowda Bus Station),12.95694,77.70062
Marathahalli Bridge,22668,22668,Marathahalli Bridge (Towards Varthuru),12.9569,77.70215
Marathahalli Bridge,33843,33843,Marathahalli Bridge (Towards Hebbala),12.95488,77.70053
Marathahalli Bridge,35409,35409,Marathahalli Bridge (Towards Kadu bisanahalli),12.95671,77.70131
Marathahalli Bridge,37596,37596,Marathahalli Bridge (Towards Tin Factory),12.95715,77.70096
Maregowdana Doddy,28824,28824,Maregowdana Doddy (Towards Veeregowdana Doddy),12.8878,77.28027
Maregowdana Doddy,28825,28825,Maregowdana Doddy (Towards Matha Village),12.88785,77.28029
